Rank,Frequency,Dispersion,Word,Part of Speech
135,266744,0.98,three,number
136,268219,0.97,when,adverb
137,272193,0.94,state,noun
138,262584,0.96,never,adverb
139,259102,0.97,become,verb
140,264158,0.94,between,preposition
141,255936,0.96,high,adjective
142,263414,0.91,really,adverb
143,254910,0.94,something,pronoun
144,246360,0.96,most,adverb
145,240646,0.98,another,determiner
146,244507,0.97,much,determiner
147,243267,0.97,family,noun
148,240452,0.98,own,determiner
149,242443,0.96,out,preposition
150,240482,0.96,leave,verb
151,237480,0.96,put,verb
152,236577,0.96,old,adjective
153,234555,0.97,while,conjunction
154,242198,0.93,mean,verb
155,236980,0.95,on,adverb
156,231760,0.96,keep,verb
157,255047,0.88,student,noun
158,235442,0.95,why,adverb
159,240300,0.93,let,verb
160,225005,0.97,great,adjective
161,222836,0.98,same,determiner
162,227169,0.96,big,adjective
163,229435,0.93,group,noun
164,218617,0.98,begin,verb
165,219627,0.97,seem,verb
166,223138,0.95,country,noun
167,216082,0.98,help,verb
168,229429,0.92,talk,verb
169,213744,0.98,where,conjunction
170,221392,0.94,turn,verb
171,217728,0.96,problem,noun
172,212739,0.97,every,article
173,213952,0.96,start,verb
174,225247,0.91,hand,noun
175,209059,0.98,might,verb
176,214968,0.95,American,adjective
177,208037,0.98,show,verb
178,207861,0.98,part,noun
179,208550,0.97,about,adverb
180,204379,0.98,against,preposition
181,202427,0.98,place,noun
182,208260,0.95,over,adverb
183,207065,0.95,such,determiner
184,206895,0.94,again,adverb
185,197266,0.97,few,determiner
186,200773,0.95,case,noun
187,197086,0.96,most,determiner
188,199268,0.95,week,noun
189,203345,0.93,company,noun
190,194427,0.96,where,adverb
191,200175,0.94,system,noun
192,196522,0.95,each,determiner
193,205250,0.90,right,adverb
194,195985,0.93,program,noun
195,196070,0.93,hear,verb
196,191893,0.95,so,conjunction
197,192070,0.95,question,noun
198,190729,0.95,during,preposition
199,187533,0.97,work,noun
200,188328,0.96,play,verb
201,191314,0.94,government,noun
202,187325,0.96,run,verb
203,185463,0.97,small,adjective
204,186005,0.96,number,noun
205,183854,0.95,off,adverb
206,179474,0.97,always,adverb
207,179388,0.97,move,verb
208,182341,0.95,like,verb
209,184511,0.93,night,noun
210,176144,0.98,live,verb
211,188555,0.91,Mr,noun
212,177481,0.97,point,noun
213,178397,0.96,believe,verb
214,177368,0.97,hold,verb
215,183724,0.93,today,adverb
216,174366,0.98,bring,verb
217,182714,0.93,happen,verb
218,176306,0.96,next,number
219,172448,0.98,without,preposition
220,172769,0.98,before,preposition
221,175611,0.96,large,adjective
222,177317,0.93,all,adverb
223,176895,0.93,million,number
224,171043,0.96,must,verb
225,170527,0.96,home,noun
226,164766,0.98,under,preposition
227,167666,0.96,water,noun
228,172472,0.92,room,noun
229,161824,0.98,write,verb
230,169407,0.93,mother,noun
231,165812,0.95,area,noun
232,166359,0.95,national,adjective
233,164794,0.95,money,noun
234,163582,0.96,story,noun
235,160011,0.98,young,adjective
236,164401,0.95,fact,noun
237,162685,0.96,month,noun
238,162411,0.96,different,adjective
239,169570,0.92,lot,noun
240,163259,0.95,right,noun
241,174069,0.88,study,noun
242,154013,0.98,book,noun
243,169150,0.89,eye,noun
244,154743,0.96,job,noun
245,152891,0.97,word,noun
246,152182,0.97,though,conjunction
247,154468,0.95,business,noun
248,156417,0.94,issue,noun
249,152559,0.96,side,noun
250,155032,0.95,kind,noun
251,150646,0.97,four,number
252,160131,0.91,head,noun
253,148621,0.98,far,adverb
254,150718,0.96,black,adjective
255,149050,0.97,long,adjective
256,146338,0.97,both,determiner
257,149658,0.94,little,adjective
258,149251,0.94,house,noun
259,157364,0.89,yes,interjection
260,142289,0.98,after,conjunction
261,141264,0.98,since,conjunction
262,142007,0.97,long,adverb
263,150879,0.91,provide,verb
264,146122,0.94,service,noun
265,143766,0.96,around,preposition
266,142697,0.96,friend,noun
267,144194,0.95,important,adjective
268,145051,0.93,father,noun
269,147185,0.92,sit,verb
270,144713,0.93,away,adverb
271,140819,0.96,until,conjunction
272,141357,0.95,power,noun
273,138955,0.96,hour,noun
274,146311,0.92,game,noun
275,140731,0.95,often,adverb
276,135484,0.98,yet,adverb
277,135986,0.98,line,noun
278,144437,0.92,political,adjective
279,134104,0.98,end,noun
280,138192,0.94,among,preposition
281,135774,0.96,ever,adverb
282,140937,0.92,stand,verb
283,134910,0.96,bad,adjective
284,134102,0.97,lose,verb
285,142282,0.91,however,adverb
286,134731,0.95,member,noun
287,133133,0.96,pay,verb
288,133706,0.95,law,noun
289,128737,0.98,meet,verb
290,133571,0.94,car,noun
291,132684,0.95,city,noun
292,127907,0.98,almost,adverb
293,133563,0.93,include,verb
294,126029,0.98,continue,verb
295,127369,0.97,set,verb
296,126495,0.98,later,adverb
297,133057,0.93,community,noun
298,126029,0.98,much,adverb
299,127139,0.97,name,noun
300,125571,0.97,five,number
301,126203,0.97,once,adverb
302,126760,0.96,white,adjective
303,123961,0.98,least,adverb
304,134203,0.90,president,noun
305,124346,0.97,learn,verb
306,124187,0.97,real,adjective
307,123183,0.98,change,verb
308,131489,0.92,team,noun
309,126660,0.95,minute,noun
310,124850,0.96,best,adjective
311,124039,0.97,several,determiner
312,122140,0.98,idea,noun
313,126428,0.95,kid,noun
314,125165,0.96,body,noun
315,127331,0.94,information,noun
316,126717,0.94,nothing,pronoun
317,125252,0.95,ago,adverb
318,126278,0.94,right,adjective
319,122691,0.97,lead,verb
320,132899,0.89,social,adjective
321,121354,0.97,understand,verb
322,121921,0.96,whether,conjunction
323,125006,0.94,back,noun
324,124976,0.94,watch,verb
325,119186,0.98,together,adverb
326,119425,0.97,follow,verb
327,122789,0.94,around,adverb
328,119610,0.97,parent,noun
329,117700,0.98,only,adjective
330,121481,0.94,stop,verb
331,127291,0.89,face,noun
332,120292,0.94,anything,pronoun
333,119419,0.95,create,verb
334,119825,0.95,public,adjective
335,115220,0.98,already,adverb
336,117358,0.96,speak,verb
337,115771,0.97,others,noun
338,114094,0.97,read,verb
339,121704,0.91,level,noun
340,114892,0.97,allow,verb
341,117842,0.94,add,verb
342,114791,0.97,office,noun
343,114569,0.97,spend,verb
344,124993,0.88,door,noun
345,117762,0.94,health,noun
346,113650,0.97,person,noun
347,117851,0.93,art,noun
348,116186,0.94,sure,adjective
349,119125,0.92,such,preposition
350,117804,0.93,war,noun
351,114904,0.95,history,noun
352,112962,0.96,party,noun
353,114599,0.93,within,preposition
354,110020,0.97,grow,verb
355,116277,0.92,result,noun
356,111857,0.94,open,verb
357,112426,0.94,change,noun
358,114002,0.92,morning,noun
359,113787,0.92,walk,verb
360,106863,0.97,reason,noun
361,108990,0.95,low,adjective
362,111478,0.93,win,verb
363,114802,0.90,research,noun
364,110409,0.93,girl,noun
365,110409,0.93,guy,noun
366,108171,0.95,early,adjective
367,107728,0.96,food,noun
368,107448,0.96,before,conjunction
369,109720,0.94,moment,noun
370,109288,0.94,himself,pronoun
371,105932,0.96,air,noun
372,116100,0.88,teacher,noun
373,108005,0.95,force,noun
374,106473,0.96,offer,verb
375,105880,0.96,enough,adverb
376,106361,0.95,both,adverb
377,113731,0.89,education,noun
378,105559,0.96,across,preposition
379,107925,0.93,although,conjunction
380,106879,0.94,remember,verb
381,107285,0.94,foot,noun
382,103621,0.97,second,number
383,107447,0.93,boy,noun
384,108421,0.92,maybe,adverb
385,105984,0.94,toward,preposition
386,103171,0.97,able,adjective
387,103402,0.96,age,noun
388,104122,0.95,off,preposition
389,107601,0.92,policy,noun
390,103591,0.95,everything,pronoun
391,103681,0.95,love,verb
392,107341,0.91,process,noun
393,102657,0.95,music,noun
394,103650,0.94,including,preposition
395,101987,0.96,consider,verb
396,100671,0.97,appear,verb
397,105155,0.92,actually,adverb
398,101105,0.95,buy,verb
399,99754,0.96,probably,adverb
400,101224,0.94,human,adjective
401,102463,0.93,wait,verb
402,99660,0.95,serve,verb
403,100435,0.94,market,noun
404,98376,0.96,die,verb
405,96613,0.97,send,verb
406,95566,0.98,expect,verb
407,97937,0.95,home,adverb
408,95896,0.97,sense,noun
409,96651,0.96,build,verb
410,96933,0.96,stay,verb
411,96908,0.95,fall,verb
412,103613,0.89,oh,interjection
413,97212,0.95,nation,noun
414,95824,0.96,plan,noun
415,96012,0.95,cut,verb
416,97038,0.94,college,noun
417,96620,0.95,interest,noun
418,93222,0.98,death,noun
419,96224,0.95,course,adverb
420,95608,0.95,someone,pronoun
421,98106,0.93,experience,noun
422,95047,0.93,behind,preposition
423,92375,0.96,reach,verb
424,92970,0.95,local,adjective
425,92660,0.95,kill,verb
426,90571,0.97,six,number
427,91319,0.96,remain,verb
428,95216,0.92,effect,noun
429,96564,0.90,use,noun
430,103389,0.84,yeah,interjection
431,92643,0.93,suggest,verb
432,91323,0.94,class,noun
433,90301,0.94,control,noun
434,87036,0.98,raise,verb
435,88862,0.96,care,noun
436,87060,0.98,perhaps,adverb
437,88697,0.95,little,adverb
438,86421,0.98,late,adjective
439,86817,0.97,hard,adjective
440,87243,0.96,field,noun
441,87876,0.95,else,adverb
442,86184,0.97,pass,verb
443,88930,0.94,former,determiner
444,87865,0.95,sell,verb
445,87487,0.95,major,adjective
446,84845,0.98,sometimes,adverb
447,89280,0.93,require,verb
448,84926,0.97,along,preposition
449,91995,0.90,development,noun
450,85256,0.97,themselves,pronoun
451,88138,0.93,report,verb
452,88666,0.92,role,noun
453,83895,0.98,better,adjective
454,90392,0.91,economic,adjective
455,86473,0.95,effort,noun
456,85759,0.95,up,preposition
457,84035,0.97,decide,verb
458,87224,0.94,rate,noun
459,83677,0.98,strong,adjective
460,85084,0.96,possible,adjective
461,84536,0.96,heart,noun
462,86231,0.94,drug,noun
463,86828,0.94,show,noun
464,85438,0.95,leader,noun
465,87427,0.93,light,noun
466,89379,0.90,voice,noun
467,83601,0.96,wife,noun
468,83756,0.96,whole,adjective
469,85880,0.93,police,noun
470,82808,0.96,mind,noun
471,81951,0.97,finally,adverb
472,87243,0.91,pull,verb
473,81812,0.97,return,verb
474,82090,0.97,free,adjective
475,85152,0.93,military,adjective
476,84443,0.94,price,noun
477,83174,0.95,report,noun
478,82930,0.95,less,adverb
479,83773,0.94,according,preposition
480,82429,0.95,decision,noun
481,80797,0.97,explain,verb
482,80895,0.97,son,noun
483,81385,0.96,hope,verb
484,79087,0.98,even,conjunction
485,84835,0.92,develop,verb
486,81338,0.96,view,noun
487,84549,0.92,relationship,noun
488,79513,0.97,carry,verb
489,79821,0.97,town,noun
490,80987,0.95,road,noun
491,80476,0.96,drive,verb
492,84865,0.91,arm,noun
493,79299,0.97,TRUE,adjective
494,81826,0.94,federal,adjective
495,79310,0.97,break,verb
496,78334,0.98,better,adverb
497,82911,0.92,difference,noun
498,88574,0.86,thank,verb
499,80250,0.95,receive,verb
500,82942,0.92,value,noun
501,81610,0.93,international,adjective
502,78487,0.97,building,noun
503,80009,0.95,action,noun
504,77547,0.97,full,adjective
505,82973,0.91,model,noun
506,80609,0.93,join,verb
507,83743,0.89,season,noun
508,81192,0.92,society,noun
509,77116,0.97,because,preposition
510,80713,0.92,tax,noun
511,79813,0.93,director,noun
512,75605,0.98,early,adverb
513,77124,0.96,position,noun
514,81358,0.91,player,noun
515,76753,0.96,agree,verb
516,76304,0.96,especially,adverb
517,77509,0.94,record,noun
518,77197,0.95,pick,verb
519,77921,0.94,wear,verb
520,75383,0.97,paper,noun
521,75298,0.97,special,adjective
522,75395,0.96,space,noun
523,74713,0.97,ground,noun
524,78493,0.92,form,noun
525,76544,0.94,support,verb
526,75559,0.95,event,noun
527,79026,0.91,official,noun
528,74914,0.96,whose,determiner
529,73842,0.97,matter,noun
530,74534,0.96,everyone,pronoun
531,74559,0.96,center,noun
532,74871,0.96,couple,noun
533,75932,0.94,site,noun
534,73099,0.97,end,verb
535,75446,0.94,project,noun
536,73999,0.95,hit,verb
537,75887,0.93,base,verb
538,77980,0.90,activity,noun
539,73695,0.95,star,noun
540,75228,0.93,table,noun
541,74877,0.93,need,noun
542,74112,0.94,court,noun
543,74169,0.94,produce,verb
544,73505,0.95,eat,verb
545,73063,0.95,American,noun
546,72668,0.95,teach,verb
547,74386,0.93,oil,noun
548,70930,0.97,half,determiner
549,72603,0.95,situation,noun
550,71602,0.96,easy,adjective
551,73512,0.94,cost,noun
552,73055,0.94,industry,noun
553,74858,0.92,figure,noun
554,69493,0.98,face,verb
555,71645,0.95,street,noun
556,72216,0.94,image,noun
557,71093,0.96,itself,pronoun
558,71599,0.95,phone,noun
559,69497,0.97,either,adverb
560,76594,0.88,data,noun
561,69387,0.97,cover,verb
562,69966,0.96,quite,adverb
563,69229,0.97,picture,noun
564,68662,0.98,clear,adjective
565,73745,0.91,practice,noun
566,68901,0.97,piece,noun
567,69750,0.96,land,noun
568,70685,0.94,recent,adjective
569,71377,0.93,describe,verb
570,70883,0.94,product,noun
571,69446,0.95,doctor,noun
572,71390,0.93,wall,noun
573,72217,0.91,patient,noun
574,69962,0.94,worker,noun
575,70051,0.94,news,noun
576,69870,0.94,test,noun
577,69387,0.94,movie,noun
578,67228,0.97,certain,adjective
579,68046,0.96,north,noun
580,67495,0.96,love,noun
581,67917,0.96,personal,adjective
582,67218,0.97,open,adjective
583,69431,0.93,support,noun
584,66712,0.97,simply,adverb
585,67037,0.97,third,number
586,69565,0.93,technology,noun
587,68214,0.94,catch,verb
588,66232,0.97,step,noun
589,67881,0.94,baby,noun
590,67399,0.95,computer,noun
591,68481,0.93,type,noun
592,65271,0.97,attention,noun
593,65198,0.97,draw,verb
594,66724,0.95,film,noun
595,71611,0.88,Republican,noun
596,66630,0.94,tree,noun
597,66862,0.94,source,noun
598,66217,0.94,red,adjective
599,64860,0.96,nearly,adverb
600,67278,0.93,organization,noun
601,64348,0.97,choose,verb
602,64531,0.97,cause,verb
603,69564,0.89,hair,noun
604,66194,0.94,look,noun
605,62980,0.98,point,verb
606,65667,0.94,century,noun
607,65360,0.94,evidence,noun
608,68303,0.90,window,noun
609,63947,0.96,difficult,adjective
610,64984,0.94,listen,verb
611,63168,0.96,soon,adverb
612,67128,0.91,culture,noun
613,65243,0.93,billion,number
614,62682,0.97,chance,noun
615,63406,0.95,brother,noun
616,64139,0.94,energy,noun
617,64534,0.93,period,noun
618,64012,0.94,course,noun
619,62503,0.96,summer,noun
620,62154,0.96,less,determiner
621,61732,0.97,realize,verb
622,61266,0.97,hundred,number
623,63187,0.94,available,adjective
624,63476,0.93,plant,noun
625,63002,0.94,likely,adjective
626,62422,0.95,opportunity,noun
627,62962,0.94,term,noun
628,60451,0.98,short,adjective
629,60369,0.98,letter,noun
630,63489,0.93,condition,noun
631,60487,0.97,choice,noun
632,60927,0.96,place,verb
633,60072,0.97,single,adjective
634,61062,0.95,rule,noun
635,60424,0.96,daughter,noun
636,62071,0.93,administration,noun
637,60630,0.96,south,noun
638,60126,0.96,husband,noun
639,62841,0.92,Congress,noun
640,62458,0.92,floor,noun
641,64172,0.90,campaign,noun
642,62440,0.92,material,noun
643,62999,0.91,population,noun
644,61219,0.93,well,preposition
645,59543,0.96,call,noun
646,60990,0.93,economy,noun
647,59424,0.96,medical,adjective
648,58669,0.97,hospital,noun
649,59466,0.96,church,noun
650,60884,0.93,close,verb
651,58307,0.97,thousand,number
652,60432,0.94,risk,noun
653,61252,0.92,current,adjective
654,59386,0.95,fire,noun
655,58020,0.97,future,noun
656,58988,0.95,wrong,adjective
657,59542,0.94,involve,verb
658,59701,0.94,defense,noun
659,58274,0.96,anyone,pronoun
660,60442,0.93,increase,verb
661,58914,0.95,security,noun
662,58992,0.94,bank,noun
663,59716,0.93,myself,pronoun
664,59739,0.93,certainly,adverb
665,58169,0.95,west,noun
666,59006,0.94,sport,noun
667,58436,0.95,board,noun
668,58495,0.94,seek,verb
669,59432,0.93,per,preposition
670,61397,0.90,subject,noun
671,57617,0.96,officer,noun
672,57248,0.96,private,adjective
673,56714,0.97,rest,noun
674,62625,0.88,behavior,noun
675,57462,0.96,deal,verb
676,59909,0.92,performance,noun
677,56886,0.96,fight,verb
678,57784,0.95,throw,verb
679,57743,0.95,top,noun
680,56454,0.97,quickly,adverb
681,56588,0.96,past,adjective
682,58728,0.93,goal,noun
683,56022,0.97,second,noun
684,60304,0.90,bed,noun
685,56483,0.96,order,noun
686,58300,0.93,author,noun
687,56915,0.95,fill,verb
688,58744,0.92,represent,verb
689,57177,0.94,focus,verb
690,57540,0.94,foreign,adjective
691,56448,0.95,drop,verb
692,55829,0.96,plan,verb
693,56351,0.95,blood,noun
694,57033,0.94,upon,preposition
695,56954,0.94,agency,noun
696,56103,0.95,push,verb
697,57929,0.92,nature,noun
698,56978,0.94,color,noun
699,54602,0.98,no,adverb
700,55992,0.95,recently,adverb
701,56147,0.95,store,noun
702,57029,0.93,reduce,verb
703,56828,0.94,sound,noun
704,57025,0.93,note,verb
705,55174,0.96,fine,adjective
706,55608,0.95,before,adverb
707,54869,0.96,near,preposition
708,56201,0.94,movement,noun
709,55937,0.94,page,noun
710,54479,0.96,enter,verb
711,54010,0.97,share,verb
712,55719,0.94,than,preposition
713,55940,0.93,common,adjective
714,53820,0.97,poor,adjective
715,54372,0.96,other,pronoun
716,55526,0.94,natural,adjective
717,54838,0.95,race,noun
718,55203,0.94,concern,noun
719,54549,0.95,series,noun
720,58947,0.88,significant,adjective
721,55901,0.92,similar,adjective
722,54601,0.95,hot,adjective
723,55799,0.92,language,noun
724,53663,0.96,each,pronoun
725,53477,0.96,usually,adverb
726,56342,0.91,response,noun
727,55111,0.93,dead,adjective
728,53542,0.95,rise,verb
729,53127,0.96,animal,noun
730,57612,0.89,factor,noun
731,53727,0.95,decade,noun
732,54871,0.93,article,noun
733,53038,0.95,shoot,verb
734,53010,0.95,east,noun
735,52067,0.97,save,verb
736,52011,0.97,seven,number
737,54353,0.92,artist,noun
738,52005,0.96,away,preposition
739,51248,0.97,scene,noun
740,54305,0.91,stock,noun
741,52101,0.95,career,noun
742,51526,0.96,despite,preposition
743,52501,0.94,central,adjective
744,50871,0.97,eight,number
745,57039,0.87,thus,adverb
746,53390,0.92,treatment,noun
747,50742,0.97,beyond,preposition
748,51669,0.95,happy,adjective
749,52685,0.93,exactly,adverb
750,50649,0.97,protect,verb
751,53980,0.91,approach,noun
752,51657,0.95,lie,verb
753,51868,0.95,size,noun
754,52347,0.94,dog,noun
755,53859,0.91,fund,noun
756,50285,0.97,serious,adjective
757,52768,0.93,occur,verb
758,51798,0.94,media,noun
759,50833,0.96,ready,adjective
760,50045,0.98,sign,noun
761,51509,0.95,thought,noun
762,50678,0.96,list,noun
763,54738,0.89,individual,noun
764,50583,0.96,simple,adjective
765,52224,0.93,quality,noun
766,50773,0.96,pressure,noun
767,49952,0.97,accept,verb
768,49969,0.97,answer,noun
769,50793,0.95,hard,adverb
770,53398,0.90,resource,noun
771,53484,0.90,identify,verb
772,50479,0.95,left,adjective
773,49916,0.96,meeting,noun
774,52130,0.92,determine,verb
775,49208,0.98,prepare,verb
776,51211,0.94,disease,noun
777,50200,0.96,whatever,determiner
778,50541,0.95,success,noun
779,51013,0.94,argue,verb
780,53633,0.89,cup,noun
781,50329,0.95,particularly,adverb
782,49944,0.95,amount,noun
783,51476,0.93,ability,noun
784,50177,0.95,staff,noun
785,50042,0.95,recognize,verb
786,53215,0.89,indicate,verb
787,49530,0.96,character,noun
788,50904,0.93,growth,noun
789,49759,0.95,loss,noun
790,50612,0.94,degree,noun
791,50875,0.93,wonder,verb
792,50898,0.93,attack,noun
793,52915,0.89,herself,pronoun
794,50914,0.93,region,noun
795,49673,0.95,television,noun
796,49667,0.95,box,noun
797,49438,0.95,TV,noun
798,49997,0.93,training,noun
799,50385,0.93,pretty,adverb
800,49696,0.94,trade,noun
801,48975,0.95,deal,noun
802,51322,0.91,election,noun
803,51147,0.91,everybody,pronoun
804,51451,0.90,physical,adjective
805,49358,0.94,lay,verb
806,49657,0.93,general,adjective
807,47349,0.98,feeling,noun
808,49876,0.93,standard,noun
809,49011,0.94,bill,noun
810,47533,0.97,message,noun
811,47503,0.97,fail,verb
812,46628,0.98,outside,preposition
813,47435,0.97,arrive,verb
814,53840,0.85,analysis,noun
815,48594,0.94,benefit,noun
816,47375,0.97,name,verb
817,47827,0.95,sex,noun
818,47877,0.95,forward,adverb
819,47853,0.95,lawyer,noun
820,49659,0.92,present,verb
821,49764,0.91,section,noun
822,51192,0.88,environmental,adjective
823,49686,0.91,glass,noun
824,47661,0.95,answer,verb
825,50431,0.90,skill,noun
826,48183,0.94,sister,noun
827,54765,0.82,PM,adverb
828,46575,0.97,professor,noun
829,47276,0.95,operation,noun
830,47803,0.94,financial,adjective
831,48010,0.93,crime,noun
832,46346,0.97,stage,noun
833,54697,0.82,ok,adverb
834,48094,0.93,compare,verb
835,47309,0.94,authority,noun
836,46525,0.96,miss,verb
837,48605,0.92,design,noun
838,47086,0.95,sort,noun
839,45596,0.98,one,noun
840,45648,0.98,act,verb
841,46827,0.95,ten,number
842,50335,0.88,knowledge,noun
843,47305,0.94,gun,noun
844,46299,0.96,station,noun
845,47622,0.93,blue,adjective
846,47977,0.93,state,verb
847,49126,0.90,strategy,noun
848,45469,0.97,little,determiner
849,45912,0.96,clearly,adverb
850,46852,0.94,discuss,verb
851,46184,0.95,indeed,adverb
852,44931,0.97,force,verb
853,45155,0.97,truth,noun
854,45352,0.96,song,noun
855,47134,0.93,example,noun
856,47299,0.92,democratic,adjective
857,45760,0.95,check,verb
858,47807,0.91,environment,noun
859,47477,0.91,leg,noun
860,47565,0.91,dark,adjective
861,45684,0.95,public,noun
862,46777,0.92,various,adjective
863,44934,0.96,rather,adverb
864,48567,0.89,laugh,verb
865,48046,0.90,guess,verb
866,47338,0.91,executive,noun
867,45121,0.96,set,noun
868,44897,0.96,study,verb
869,44304,0.97,prove,verb
870,46632,0.92,hang,verb
871,43997,0.98,entire,adjective
872,45225,0.95,rock,noun
873,45946,0.94,design,verb
874,44378,0.97,enough,determiner
875,45571,0.94,forget,verb
876,45591,0.94,since,preposition
877,44259,0.97,claim,verb
878,44720,0.96,note,noun
879,44683,0.96,remove,verb
880,46187,0.93,manager,noun
881,43721,0.98,help,noun
882,43568,0.98,close,adjective
883,45311,0.94,sound,verb
884,44020,0.97,enjoy,verb
885,45122,0.94,network,noun
886,44820,0.95,legal,adjective
887,46425,0.91,religious,adjective
888,44649,0.95,cold,adjective
889,44646,0.95,form,verb
890,43589,0.97,final,adjective
891,43707,0.97,main,adjective
892,45726,0.92,science,noun
893,44673,0.94,green,adjective
894,43531,0.97,memory,noun
895,43605,0.96,card,noun
896,44130,0.95,above,preposition
897,44404,0.95,seat,noun
898,44831,0.94,cell,noun
899,45921,0.91,establish,verb
900,44792,0.93,nice,adjective
901,44489,0.94,trial,noun
902,43898,0.95,expert,noun
903,43359,0.96,that,adverb
904,44085,0.95,spring,noun
905,44704,0.93,firm,noun
906,46905,0.88,Democrat,noun
907,43156,0.96,radio,noun
908,42941,0.96,visit,verb
909,45112,0.92,management,noun
910,42978,0.96,care,verb
911,42890,0.96,avoid,verb
912,43487,0.95,imagine,verb
913,47549,0.87,tonight,adverb
914,42582,0.96,huge,adjective
915,43512,0.94,ball,noun
916,44951,0.91,no,interjection
917,42826,0.95,close,adverb
918,43143,0.95,finish,verb
919,43401,0.94,yourself,pronoun
920,43267,0.94,talk,noun
921,45553,0.90,theory,noun
922,43782,0.93,impact,noun
923,42139,0.96,respond,verb
924,42941,0.94,statement,noun
925,43493,0.93,maintain,verb
926,42353,0.95,charge,noun
927,42399,0.95,popular,adjective
928,43681,0.92,traditional,adjective
929,43538,0.92,onto,preposition
930,42605,0.94,reveal,verb
931,41280,0.97,direction,noun
932,43158,0.93,weapon,noun
933,42824,0.93,employee,noun
